Age,d18Oc
2.886,3.767
2.888,3.733
2.89,3.678
2.892,3.62
2.894,3.588
2.896,3.565
2.898,3.538
2.9,3.512
2.902,3.503
2.904,3.506
2.906,3.526
2.908,3.548
2.91,3.563
2.912,3.567
2.914,3.525
2.916,3.483
2.918,3.461
2.92,3.468
2.922,3.555
2.924,3.665
2.926,3.792
2.928,3.898
2.93,3.931
2.932,3.888
2.934,3.796
2.936,3.631
2.938,3.45
2.94,3.326
2.942,3.24
2.944,3.224
2.946,3.224
2.948,3.2
2.95,3.181
2.952,3.163
2.954,3.165
2.956,3.228
2.958,3.302
2.96,3.332
2.962,3.368
2.964,3.438
2.966,3.543
2.968,3.652
2.97,3.731
2.972,3.78
2.974,3.779
2.976,3.76
2.978,3.755
2.98,3.735
2.982,3.657
2.984,3.559
2.986,3.47
2.988,3.415
2.99,3.443
2.992,3.492
2.994,3.503
2.996,3.53
2.998,3.583
3,3.744
3.002,3.908
3.004,3.964
3.006,3.981
3.008,3.96
3.01,3.927
3.012,3.918
3.014,3.908
3.016,3.892
3.018,3.869
3.02,3.845
3.022,3.82
3.024,3.799
3.026,3.766
3.028,3.72
3.03,3.658
3.032,3.514
3.034,3.375
3.036,3.331
3.038,3.337
3.04,3.405
3.042,3.492
3.044,3.544
3.046,3.592
3.048,3.689
3.05,3.768
3.052,3.759
3.054,3.701
3.056,3.562
3.058,3.422
3.06,3.364
3.062,3.338
3.064,3.33
3.066,3.392
3.068,3.463
3.07,3.5
3.072,3.511
3.074,3.446
3.076,3.355
3.078,3.27
3.08,3.217
3.082,3.247
3.084,3.303
3.086,3.373
3.088,3.445
3.09,3.488
3.092,3.51
3.094,3.504
3.096,3.485
3.098,3.452
3.1,3.414
3.102,3.392
3.104,3.373
3.106,3.348
3.108,3.338
3.11,3.377
3.112,3.42
3.114,3.427
3.116,3.423
3.118,3.411
3.12,3.412
3.122,3.474
3.124,3.542
3.126,3.576
3.128,3.594
3.13,3.572
3.132,3.584
3.134,3.604
3.136,3.664
3.138,3.723
3.14,3.742
3.142,3.734
3.144,3.667
3.146,3.576
3.148,3.489
3.15,3.405
3.152,3.319
3.154,3.244
3.156,3.202
3.158,3.181
3.16,3.196
3.162,3.229
3.164,3.255
3.166,3.291
3.168,3.356
3.17,3.416
3.172,3.446
3.174,3.453
3.176,3.415
3.178,3.36
3.18,3.301
3.182,3.245
3.184,3.211
3.186,3.197
3.188,3.221
3.19,3.25
3.192,3.255
3.194,3.252
3.196,3.241
3.198,3.199
3.2,3.16
3.202,3.161
3.204,3.176
3.206,3.217
3.208,3.266
3.21,3.296
3.212,3.309
3.214,3.286
3.216,3.269
3.218,3.287
3.22,3.313
3.222,3.355
3.224,3.396
3.226,3.413
3.228,3.415
3.23,3.4
3.232,3.378
3.234,3.355
3.236,3.339
3.238,3.331
3.24,3.347
3.242,3.358
3.244,3.311
3.246,3.275
3.248,3.305
3.25,3.364
3.252,3.483
3.254,3.597
3.256,3.617
3.258,3.606
3.26,3.582
3.262,3.556
3.264,3.543
3.266,3.544
3.268,3.552
3.27,3.561
3.272,3.574
3.274,3.579
3.276,3.591
3.278,3.628
3.28,3.684
3.282,3.78
3.284,3.889
3.286,3.982
3.288,4.071
3.29,4.171
3.292,4.256
3.294,4.292
3.296,4.291
3.298,4.221
3.3,4.137
3.302,4.106
3.304,4.083
3.306,4.059
3.308,4.027
3.31,3.969
3.312,3.897
3.314,3.818
3.316,3.733
3.318,3.618
3.32,3.511
3.322,3.459
3.324,3.45
3.326,3.52
3.328,3.602
3.33,3.654
3.332,3.657
3.334,3.641
3.336,3.63
3.338,3.613
3.34,3.574
3.342,3.541
3.344,3.539
3.346,3.541
3.348,3.553
3.35,3.558
3.352,3.517
3.354,3.465
3.356,3.43
3.358,3.388
3.36,3.309
3.362,3.24
3.364,3.208
3.366,3.224
3.368,3.368
3.37,3.526
3.372,3.617
3.374,3.672
3.376,3.634
3.378,3.576
3.38,3.58
3.382,3.587
3.384,3.563
3.386,3.524
3.388,3.446
3.39,3.371
3.392,3.349
3.394,3.345
3.396,3.366
3.398,3.34
3.4,3.3
3.402,3.235
3.404,3.175
3.406,3.161
3.408,3.16
3.41,3.162
3.412,3.159
3.414,3.12
3.416,3.088
3.418,3.097
3.42,3.126
3.422,3.188
3.424,3.251
3.426,3.292
3.428,3.306
3.43,3.257
3.432,3.192
3.434,3.131
3.436,3.08
3.438,3.065
3.44,3.077
3.442,3.137
3.444,3.217
3.446,3.333
3.448,3.418
3.45,3.363
3.452,3.259
3.454,3.128
3.456,3.034
3.458,3.08
3.46,3.169
3.462,3.303
3.464,3.369
3.466,3.4
3.468,3.402
3.47,3.381
3.472,3.315
3.474,3.234
3.476,3.158
3.478,3.091
3.48,3.055
3.482,3.049
3.484,3.106
